COUNTRY,YEAR_MONTH,total_events,total_fatalities,is_outlier_iqr,lag_1_events,event_change,rolling_3m
Afghanistan,2021-03,942,2135,1,1042.0,-100.0,1058.0
Afghanistan,2021-04,1102,3453,1,942.0,160.0,1028.6666666666667
Afghanistan,2021-05,1652,7527,1,1102.0,550.0,1232.0
Afghanistan,2021-06,1381,8042,1,1652.0,-271.0,1378.3333333333333
Afghanistan,2021-07,1297,10896,1,1381.0,-84.0,1443.3333333333333
Afghanistan,2021-08,412,3339,0,1297.0,-885.0,1030.0
Afghanistan,2021-09,179,193,0,412.0,-233.0,629.3333333333334
Afghanistan,2021-10,226,527,0,179.0,47.0,272.3333333333333
Afghanistan,2021-11,165,194,0,226.0,-61.0,190.0
Afghanistan,2021-12,198,189,0,165.0,33.0,196.33333333333334
Afghanistan,2022-01,346,360,0,198.0,148.0,236.33333333333334
Afghanistan,2022-02,284,276,0,346.0,-62.0,276.0
Afghanistan,2022-03,254,220,0,284.0,-30.0,294.6666666666667
Afghanistan,2022-04,383,598,0,254.0,129.0,307.0
Afghanistan,2022-05,302,401,0,383.0,-81.0,313.0
Afghanistan,2022-06,288,523,0,302.0,-14.0,324.3333333333333
Afghanistan,2022-07,276,422,0,288.0,-12.0,288.6666666666667
Afghanistan,2022-08,234,391,0,276.0,-42.0,266.0
Afghanistan,2022-09,250,383,0,234.0,16.0,253.33333333333334
Afghanistan,2022-10,260,335,0,250.0,10.0,248.0
Afghanistan,2022-11,147,134,0,260.0,-113.0,219.0
Afghanistan,2022-12,178,173,0,147.0,31.0,195.0
Afghanistan,2023-01,171,115,0,178.0,-7.0,165.33333333333334
Afghanistan,2023-02,134,90,0,171.0,-37.0,161.0
Afghanistan,2023-03,141,118,0,134.0,7.0,148.66666666666666
Afghanistan,2023-04,166,125,0,141.0,25.0,147.0
Afghanistan,2023-05,135,109,0,166.0,-31.0,147.33333333333334
Afghanistan,2023-06,88,56,0,135.0,-47.0,129.66666666666666
Afghanistan,2023-07,152,66,0,88.0,64.0,125.0
Afghanistan,2023-08,147,161,0,152.0,-5.0,129.0
Afghanistan,2023-09,155,120,0,147.0,8.0,151.33333333333334
Afghanistan,2023-10,97,95,0,155.0,-58.0,133.0
Afghanistan,2023-11,107,91,0,97.0,10.0,119.66666666666667
Afghanistan,2023-12,111,64,0,107.0,4.0,105.0
Afghanistan,2024-01,120,90,0,111.0,9.0,112.66666666666667
Afghanistan,2024-02,92,49,0,120.0,-28.0,107.66666666666667
Afghanistan,2024-03,120,157,0,92.0,28.0,110.66666666666667
Afghanistan,2024-04,80,88,0,120.0,-40.0,97.33333333333333
Afghanistan,2024-05,113,130,0,80.0,33.0,104.33333333333333
Afghanistan,2024-06,146,145,0,113.0,33.0,113.0
Afghanistan,2024-07,146,130,0,146.0,0.0,135.0
Afghanistan,2024-08,132,135,0,146.0,-14.0,141.33333333333334
Afghanistan,2024-09,117,139,0,132.0,-15.0,131.66666666666666
Afghanistan,2024-10,131,119,0,117.0,14.0,126.66666666666667
Afghanistan,2024-11,161,122,0,131.0,30.0,136.33333333333334
Afghanistan,2024-12,113,137,0,161.0,-48.0,135.0
Afghanistan,2025-01,120,63,0,113.0,7.0,131.33333333333334
Afghanistan,2025-02,138,148,0,120.0,18.0,123.66666666666667
Afghanistan,2025-03,87,94,0,138.0,-51.0,115.0
Afghanistan,2025-04,85,60,0,87.0,-2.0,103.33333333333333
Afghanistan,2025-05,144,58,0,85.0,59.0,105.33333333333333
Afghanistan,2025-06,61,48,0,144.0,-83.0,96.66666666666667
Afghanistan,2025-07,74,53,0,61.0,13.0,93.0
Afghanistan,2025-08,117,62,0,74.0,43.0,84.0
Afghanistan,2025-09,108,67,0,117.0,-9.0,99.66666666666667
Afghanistan,2025-10,150,206,0,108.0,42.0,125.0
Afghanistan,2025-11,111,83,0,150.0,-39.0,123.0
Afghanistan,2025-12,87,55,0,111.0,-24.0,116.0
Afghanistan,2026-01,131,55,0,87.0,44.0,109.66666666666667
American Samoa,2022-02,1,0,0,1.0,0.0,1.0
American Samoa,2022-05,1,0,0,1.0,0.0,1.0
American Samoa,2022-06,1,0,0,1.0,0.0,1.0
American Samoa,2022-12,1,0,0,1.0,0.0,1.0
American Samoa,2025-06,1,0,0,1.0,0.0,1.0
Antarctica,2022-03,2,0,0,3.0,-1.0,2.0
Antarctica,2022-09,1,0,0,2.0,-1.0,2.0
Antarctica,2023-09,1,0,0,1.0,0.0,1.3333333333333333
Antarctica,2024-04,1,0,0,1.0,0.0,1.0
Australia,2021-03,48,0,0,30.0,18.0,35.333333333333336
Australia,2021-04,20,0,0,48.0,-28.0,32.666666666666664
Australia,2021-05,97,0,0,20.0,77.0,55.0
Australia,2021-06,48,0,0,97.0,-49.0,55.0
Australia,2021-07,48,0,0,48.0,0.0,64.33333333333333
Australia,2021-08,85,0,0,48.0,37.0,60.333333333333336
Australia,2021-09,57,0,0,85.0,-28.0,63.333333333333336
Australia,2021-10,105,0,0,57.0,48.0,82.33333333333333
Australia,2021-11,105,0,0,105.0,0.0,89.0
Australia,2021-12,56,0,0,105.0,-49.0,88.66666666666667
Australia,2022-01,66,0,0,56.0,10.0,75.66666666666667
Australia,2022-02,62,0,0,66.0,-4.0,61.333333333333336
Australia,2022-03,72,0,0,62.0,10.0,66.66666666666667
Australia,2022-04,74,0,0,72.0,2.0,69.33333333333333
Australia,2022-05,62,0,0,74.0,-12.0,69.33333333333333
Australia,2022-06,53,0,0,62.0,-9.0,63.0
Australia,2022-07,69,0,0,53.0,16.0,61.333333333333336
Australia,2022-08,56,0,0,69.0,-13.0,59.333333333333336
Australia,2022-09,59,0,0,56.0,3.0,61.333333333333336
Australia,2022-10,120,1,0,59.0,61.0,78.33333333333333
Australia,2022-11,81,0,0,120.0,-39.0,86.66666666666667
Australia,2022-12,42,6,0,81.0,-39.0,81.0
Australia,2023-01,45,0,0,42.0,3.0,56.0
Australia,2023-02,23,0,0,45.0,-22.0,36.666666666666664
Australia,2023-03,68,0,0,23.0,45.0,45.333333333333336
Australia,2023-04,72,0,0,68.0,4.0,54.333333333333336
Australia,2023-05,82,0,0,72.0,10.0,74.0
Australia,2023-06,46,0,0,82.0,-36.0,66.66666666666667
Australia,2023-07,70,0,0,46.0,24.0,66.0
Australia,2023-08,78,0,0,70.0,8.0,64.66666666666667
Australia,2023-09,95,0,0,78.0,17.0,81.0
Australia,2023-10,95,0,0,95.0,0.0,89.33333333333333
Australia,2023-11,124,0,0,95.0,29.0,104.66666666666667
Australia,2023-12,87,0,0,124.0,-37.0,102.0
Australia,2024-01,70,0,0,87.0,-17.0,93.66666666666667
Australia,2024-02,95,0,0,70.0,25.0,84.0
Australia,2024-03,131,0,0,95.0,36.0,98.66666666666667
Australia,2024-04,113,0,0,131.0,-18.0,113.0
Australia,2024-05,109,0,0,113.0,-4.0,117.66666666666667
Australia,2024-06,77,0,0,109.0,-32.0,99.66666666666667
Australia,2024-07,82,0,0,77.0,5.0,89.33333333333333
Australia,2024-08,88,0,0,82.0,6.0,82.33333333333333
Australia,2024-09,74,0,0,88.0,-14.0,81.33333333333333
Australia,2024-10,80,0,0,74.0,6.0,80.66666666666667
Australia,2024-11,86,0,0,80.0,6.0,80.0
Australia,2024-12,43,0,0,86.0,-43.0,69.66666666666667
Australia,2025-01,41,0,0,43.0,-2.0,56.666666666666664
Australia,2025-02,62,0,0,41.0,21.0,48.666666666666664
Australia,2025-03,86,0,0,62.0,24.0,63.0
Australia,2025-04,49,0,0,86.0,-37.0,65.66666666666667
Australia,2025-05,81,0,0,49.0,32.0,72.0
Australia,2025-06,63,0,0,81.0,-18.0,64.33333333333333
Australia,2025-07,56,0,0,63.0,-7.0,66.66666666666667
Australia,2025-08,96,0,0,56.0,40.0,71.66666666666667
Australia,2025-09,67,0,0,96.0,-29.0,73.0
Australia,2025-10,74,0,0,67.0,7.0,79.0
Australia,2025-11,52,0,0,74.0,-22.0,64.33333333333333
Australia,2025-12,29,16,0,52.0,-23.0,51.666666666666664
Australia,2026-01,63,0,0,29.0,34.0,48.0
Bangladesh,2021-03,242,50,0,177.0,65.0,209.33333333333334
Bangladesh,2021-04,173,39,0,242.0,-69.0,197.33333333333334
Bangladesh,2021-05,458,28,1,173.0,285.0,291.0
Bangladesh,2021-06,136,22,0,458.0,-322.0,255.66666666666666
Bangladesh,2021-07,86,20,0,136.0,-50.0,226.66666666666666
Bangladesh,2021-08,131,8,0,86.0,45.0,117.66666666666667
Bangladesh,2021-09,212,17,0,131.0,81.0,143.0
Bangladesh,2021-10,316,53,0,212.0,104.0,219.66666666666666
